x,y,z,type
21.577676513793577,36.22313562236877,0.0,default
55.21767651379358,86.68313562236878,0.0,default
-45.702323486206424,53.04313562236877,0.0,default
4.757676513793577,103.50313562236877,0.0,default
21.577676513793577,103.50313562236877,0.0,default
21.577676513793577,2.583135622368772,0.0,default
4.757676513793577,53.04313562236877,0.0,default
-28.882323486206424,36.22313562236877,0.0,default
-28.882323486206424,19.403135622368772,0.0,default
4.757676513793577,86.68313562236878,0.0,default
55.21767651379358,120.32313562236877,0.0,default
72.03767651379357,53.04313562236877,0.0,default
-45.702323486206424,69.86313562236877,0.0,default
21.577676513793577,86.68313562236878,0.0,default
4.757676513793577,36.22313562236877,0.0,default
-12.062323486206424,69.86313562236877,0.0,default
38.39767651379358,2.583135622368772,0.0,default
72.03767651379357,103.50313562236877,0.0,default
38.39767651379358,103.50313562236877,0.0,default
55.21767651379358,53.04313562236877,0.0,default
21.577676513793577,19.403135622368772,0.0,default
-28.882323486206424,53.04313562236877,0.0,default
38.39767651379358,69.86313562236877,0.0,default
-45.702323486206424,86.68313562236878,0.0,default
72.03767651379357,36.22313562236877,0.0,default
4.757676513793577,120.32313562236877,0.0,default
-12.062323486206424,36.22313562236877,0.0,default
-12.062323486206424,120.32313562236877,0.0,default
-28.882323486206424,2.583135622368772,0.0,default
4.757676513793577,19.403135622368772,0.0,default
55.21767651379358,2.583135622368772,0.0,default
-28.882323486206424,120.32313562236877,0.0,default
21.577676513793577,69.86313562236877,0.0,default
55.21767651379358,69.86313562236877,0.0,default
4.757676513793577,69.86313562236877,0.0,default
21.577676513793577,53.04313562236877,0.0,default
38.39767651379358,36.22313562236877,0.0,default
72.03767651379357,69.86313562236877,0.0,default
4.757676513793577,2.583135622368772,0.0,default
-12.062323486206424,53.04313562236877,0.0,default
38.39767651379358,19.403135622368772,0.0,default
55.21767651379358,19.403135622368772,0.0,default
